Conversation Number,Conversation
12222,"Is this American Airlines ? -- Yes , sir . My name is Ellen . How may I help you ? -- I need to get a flight to Chicago on the 7th in the morning . Can you give me a hand ? -- Certainly , sir . There ’ s a flight at 8: 35 a . m . and one at 10 . --"
12223,"morning . Phyllis Seymour speaking . -- Hi , Ms . Seymour ? It ’ s Allan Parker . I ’ Ve been waiting to call you and thank you for all your help last week . -- Thank you very much , Mr . Parker . But , that is my job . -- Well , I want to let your boss know that she ’ d better hold on to you ! You ’ re a hard worker ! --"
12224,"Hello , Mr . Kramer . Could you spare a minute ? -- That ’ s about all I can spare , Karen . What do you need ? -- I need to talk to you about that new secretary you ’ Ve hired . I think I ’ m going to have some problems working with her . -- She seems to be quite qualified . If it ’ s a personal problem , I ’ d prefer it if you would work it out between yourselves . --"
12225,"sorry , Brad . But you are going to have to re-do this . -- What ’ s the problem , Ms . Murphy ? -- It ’ s badly organized . I can ’ t present this to the board . -- I ’ m sorry . Ms . Murphy . I ’ ll re-work it . Can I give it back to you this afternoon ? --"
12226,"Hi , is this the Bread and Cheese Deli ? -- Yes , ma ’ am . How may I help you ? -- I need to place an order for a couple of sandwiches and drinks . Can you deliver ? -- Yes , we do deliveries for orders over $ 15 , ma ’ am . --"
12227,"Ms . Montgomery ? Do you have a moment ? -- Sure , Brian . What ’ s on your mind ? -- I ’ m a bit upset about this year ’ s bonus . I was really expecting a little more . Are there any problems with my work ? -- No , not at all , Brian . This year , we ’ Ve all had to cut back . I ’ m hoping next year ’ s going to better . I hope you can understand . --"
12228,"Carla , I know you ’ re kind of new in this business and I want to give you some advice . -- Yes , Mr . Michael ? -- You have to listen to what the client asks for . What you have just shown me is not at all in line with the client ’ s wishes . -- I ’ m sorry , Mr . Michael . Could you tell me where the problems are exactly ? Maybe I misunderstood the client ’ s intentions . --"
12229,"Would you please take a seat over there , madam ? I ’ ll let Mr . Emory know that you ’ re here . -- Thanks . I can wait here . -- Well , it may take some time . Mr . Emory ’ s at a meeting at the moment . It would probably be more comfortable over there . -- I see . All right , then . Thanks . --"
12230,"Mr . Emory ? I ’ d appreciate it if you would look over these letters before you leave today . -- I ’ d be glad to . Just leave them on my desk . I didn ’ t expect you to finish so soon . -- Thank you , sir . I ’ ll leave them here . If there are no problems , I ’ ll mail them out this afternoon . -- Great . Good work . --"
12231,"Mr . Emory ? I think it ’ s time to get a new computer . -- Why , Christine ? I think the one we have is fine . -- For the amount of work we do on the computer these days , the one we ’ re using is just too weak . We really need a higher model . -- Well , I ’ ll think about it . I don ’ t know whether accounting is going to agree to such a big purchase . --"
12232,"Solomon , I thought we had agreed to change this deadline . -- I wanted to talk to you about that , Mr . Eng . Mr . Emory would prefer to keep the deadline as is . We can start earlier if you ’ d like . -- I ’ ll have to think about that , Ms . Solomon . -- Certainly , sir . We can wait another day or two . --"
12233,"Excuse me , Ms . Montgomery ? -- I ’ m sorry , Jeff . Please don ’ t interrupt me right now . I ’ m in the middle of a conversation . -- Oh , I ’ m sorry , Ms . Montgomery . I ’ ll come back later . -- That ’ s all right . I ’ ll be finished in a little while . --"
12234,"We ’ re going to need a lot of new stuff after the holidays . Let ’ s make a list . -- Fine , Mr . Richardson . What do you have in mind ? -- Well , to begin with , we ’ re going to have to get a new desk for you and I ’ d like to replace that old typewriter . -- Yes ! I agree ! We could really use another one ! I ’ ll get on that right away ! What else would you like to order ? --"
12235,"Is this supply ? -- Yeah . This is supply . What can I do for you ? -- This is Rachel in Human Resources . I need two boxes of company letterhead , one box of ball-point pens , and a box of envelopes . -- All right . No problem . What ’ s your extension ? --"
12236,"You still have not given me those files I ’ Ve asked you for . -- I ’ m sorry , Mr . Myers . I ’ Ve just been so busy today . -- I really don ’ t want to hear your excuses , Janet . We ’ re running a busy office here . You ’ re going to have to keep up . -- You ’ re right , sir . I apologize . I ’ ll get those files for you now . --"
12237,"Cindy ! Are you getting take-out ? -- Yeah , do you want something ? -- Yeah , thanks . Could you pick me up a chicken salad sandwich , an order of fries , and a large diet coke ? -- No problem . Do you have any cash on you ? I don ’ t think I have enough . --"
12238,"Then , Mary . We need 10 more loose-leaf binders , five pounds of heavy duty white paper , and what else did I say ? -- Two boxes of transparencies for the over-head machines . -- Right . And I ’ d like one of those new electric pencil sharpeners . -- All right , Mr . Jones . Do you think we ’ ll need anything else ? --"
12239,"Liz , you were supposed to have had those contracts typed up by now . -- I was supposed to do that ? I thought Sharon was responsible for that . -- No , Liz . I asked you specifically . Don ’ t you remember ? -- I ’ m really sorry , Mr . Samuel . I really don ’ t remember that . --"
12240,"Rachel ? I ’ m not sure how you want to handle this account . I think there are a few things to be sorted out . -- I agree , Toni . I think the biggest problem we ’ re facing is how to bring it in under budget . -- That ’ s true . But even beyond that , there ’ s the question of meeting the deadlines they ’ Ve set . -- Right . Look , why don ’ t we make a list of the problems we ’ re dealing with . It ’ ll be easier to work through them that way . --"
12241,"Listen , Christine , you can not afford another day off . You ’ Ve called in sick five times in the last three weeks . -- I know , Mr . Douglas . But I am really sick . -- Well , I want a note from the doctor on this one . And , to be honest , if this continues , we may not be able to employ you here . -- I understand , sir . I ’ ll bring a doctor ’ s note in tomorrow . I am sorry , Mr . Douglas . --"
12242,"Martin ? Did you remember to bring back that software I lent you ? -- Oh , Kate ! I ’ m sorry . It completely slipped my mind ! -- That ’ s okay , Martin . If you could just bring it in tomorrow , I ’ d appreciate it . -- Definitely . I ’ m really sorry ! --"
12243,"John ? Can you come over here for a second ? -- Certainly , Mr . Emory . What can I do for you ? -- I need you to take a look at these samples . I think there are a few problems . -- Sure . Let me look over them and I ’ ll bring them back this afternoon . --"
12244,"These two sections need to be re-written , Jerry . The last guy that did this really mixed things up . -- Yeah , I could tell that . That ’ s no problem . I can probably get it re-done by tomorrow . When ’ s our meeting with the boss ? -- Not until next week , I think , the 15th . -- Then , we ’ Ve got plenty of time . --"
12245,"What are you guys doing over there ? -- What do you mean , Janice ? -- I ’ Ve been waiting for a response on the Blake Building design for nearly two weeks . -- I ’ m sorry , Janice . But we ’ Ve been waiting on the client . It ’ s out of our hands at the moment . --"
12246,"Mr . Phillips ? I have a request here from purchasing that needs your approval . -- Let me take a look . This is for a 486 computer with modem . Who ’ s it going to ? -- I believe it ’ s going to Ms . Wilson ’ s office . -- Get her on the phone , please . I need to clarify this . --"
12247,"Mark ? I need that file you took yesterday . -- I ’ m sorry , Janet . I left it at home . I ’ ll bring it back in the morning . -- Mark , I told you yesterday afternoon that I would be using that file today . -- I know , Janet . I just walked out and forgot it completely . I ’ ll go home and get it at noon , all right ? --"
12248,"Excuse me , sir ? I ’ m afraid this is a no-smoking area . -- What ’ s that ? -- I ’ m sorry , sir . Smoking is not permitted in this area . -- Oh , sorry . I ’ ll put it out . --"
12249,"This is what my boss is expecting , Sandy . He wants a detailed list of expenses and equipment costs . -- That ’ s going to take a while to put together , Paul . -- The sooner , the better , Sandy . I don ’ t think he ’ ll sign anything till he ’ s got that in his hands . -- I ’ ll get to work on it right away . Anything else ? --"
12250,"Hi , Alex . Would you come with me to supply ? I ’ Ve got to pick up a load of stuff and I ’ m afraid I can ’ t carry it all . -- Sure , Stacy . Let me just grab my coat . -- Thanks . I appreciate the hand . I ’ d have to make two or three trips on my own . -- Don ’ mention it . I ’ m glad to help . --"
12251,"I really just have two problems with this . -- Yes , sir ? -- I ’ m concerned about your lack of marketing experience and , frankly , your age , you ’ re pretty new at all this . -- I can understand that . Let me see if I can clarify some things for you . --"
12252,"Mrs . Montgomery ? I ’ Ve been trying to figure out when we should have the New Year ’ s party . Could you take a book at these dates ? -- Sure . The twenty-ninth is out . I ’ ll be out of the office all day at a seminar . Either the twenty-eighth or the thirtieth is fine . -- Well , why don ’ t we make it the thirtieth ? We can set it up from three to five . That way , everybody can just go home afterwards . -- Sounds good to me . You make up the invitations , I ’ Ve got run . I ’ Ve got a meeting in five minutes . --"
12253,"Hi , Carlos . What are you doing this afternoon ? -- Working . Why ? -- Well . I was just wondering if you would come by and give me a hand with the fliers for next week ’ s party . -- I ’ m sorry , Melissa . I really can ’ t today . I ’ Ve just got too much going on . Maybe tomorrow . --"
12254,"Susan , we ’ re going to need those data before tomorrow . -- I know . I ’ m just waiting for confirmation on one of them . I can get them to you by tomorrow morning . -- Yeah ? All right . Thanks , Susan . -- That ’ s all right . --"
12255,"Mr . Martin ? I need to talk to you for a minute . -- Certainly , Mr . Emory . Is there a problem , sir ? -- Well , I ’ d just like you to help me with the holiday schedule . -- Fine , Mr . Emory . Let me just grab a pad and pen . --"
12256,"Mr . Blake ? Mr . Foster ’ s on the phone . He ’ d like to know if you can send over those training manuals ? -- Oh , tell him I ’ ll leave them at his office tomorrow afternoon . -- He was hoping that you could drop them off this afternoon . -- I ’ m afraid that I can ’ t do that . They ’ re at the printer ’ s being copied . They ’ ll be back tomorrow before 1 o ’ clock . --"
12257,"Can we talk about this bonus plan of yours ? I ’ Ve got a few problems with it . -- Sure , Richard . What ’ s on your mind ? -- Well , to be honest , I just don ’ t think we ’ re going to have enough funds to give the kind of bonuses you have in mind . -- Well , why don ’ t we sit down and work out the numbers ? We can always scale down the bonuses if we have to . --"
12258,"Excuse me , Mr . Graham ? I have something I need to discuss with you . -- I ’ m in a bit of a hurry , Louise . Can it wait ? -- I would really appreciate it if we could talk for a few minutes now . It ’ s about the overtime you ’ Ve asked me to put in . -- All right . Why don ’ t you have a seat ? What ’ s the problem ? --"
12259,"I ’ m not sure what you expect me to do , Michelle . You ’ Ve not been very clear about any of this . -- I ’ m sorry , Clint . Maybe I didn ’ t make myself clear enough . We should get together to discuss this . -- Yeah . I think that would be a good idea . I ’ m really in the dark on everything . -- Fine . Let ’ s meet this afternoon . I ’ ll draw you a better picture of the situation . --"
12260,"I ’ m sorry to disturb you , Mr . Crane . -- Yes , what is it , William ? -- Could you please look over these resumes ? They ’ Ve just come in . -- All right , fine . Thank you , William . --"
12261,"Jason . There ’ s a snag in the plans for the Hoover Center . -- What ’ s wrong ? I thought everything was set . -- Well , it was . But the contractor ’ s just told me he ’ s not going to be able to finish by the twentieth , as planned . -- Maybe we could work out an overtime schedule . It ’ s definitely worth it to finish by the twentieth . --"
12262,"Excuse me , Mr . White ? I just need you to sign these before I leave . -- Sure , Sherry . Sorry to have kept you waiting . If you hadn ’ t told me , I probably would have just forgotten all about them . -- That ’ s my job , sir . Just one more signature here , please . -- There you are . --"
12263,"Albert ? Could you co-sign this approval sheet ? Accounting ’ s getting really picky . -- I know . They ’ Ve already sent back two approvals I sent them . Where do I sign ? -- Right here . It ’ s for that new fax machine we ’ re getting . -- Oh , right . I remember . There you are . Hope you don ’ t have as many problems as I had ! --"
12264,"Could you call Mr . Jacob for me , Sara ? I need to go over some stuff with him . -- Of course , Mr . Roberts . But , could you tell me his extension number again ? I haven ’ t got all the numbers down yet . -- Sure , it ’ s 4-8- 7-2 . Don ’ t worry . You ’ re doing a fine job . -- Thank you very much . Mr . Roberts . --"
12265,"Hi , Brad . How are you today ? -- Just fine , Mr . Emory . Could you please sign this memo ? I want to get it out to everybody this afternoon . -- No problem . Is this the only one ? -- Yes . That ’ s for today . Thank you . --"
12266,"Hello , Mr . Compton ? This is Susan Miller . -- Hi , Susan . What can I do for you ? -- I ’ d like to take tomorrow off if that ’ s all right with you . -- Let me take a look . Just a second . That ’ s no problem , Susan . See you on Wednesday . --"
12267,"Excuse me , Mr . Macmillan ? -- Yes , Ms . Ross ? What do you need ? -- I was hoping you would write a letter of recommendation . I want to enter a Master ’ s program in marketing . It ’ s all on weekends and evenings . -- Good news ! I ’ ll be glad to . When do you need it ? --"
12268,"Could I trouble you for a minute , Mr . Graham ? -- Sure , Emily . How can I help you ? -- I would like to leave a few minutes early today . Would that be all right ? -- That ’ s fine , as long as you can get that report typed up before you leave . --"
12269,John ? I have to say I was bothered by the way you handled the meeting today . -- How so ? I thought it went fine . -- I think it would have been better if you had given us more of a chance to give our opinions . -- I ’ m sorry . I thought we were all pretty much in agreement . --
12270,"Hello , Ms . Murphy ? -- Yes ? Who ’ s calling ? -- It ’ s John Anderson . I ’ m afraid I ’ m going to be out sick today . I ’ Ve got a nasty cold . I hope you don ’ t mind , ma ’ am . -- No , that ’ s no problem . I ’ m sorry to hear you ’ re not feeling well . Get some rest . If you need to see a doctor , let me know . --"
12271,"morning . Macmillan and Emory . May I help you ? -- Is this the accounting department ? -- No , I ’ m sorry . You ’ Ve reached Mr . Macmillan ’ s office . Let me just put you through to accounting . -- Thanks . I appreciate that . --"
12272,"Mr . Johnson ’ s office . Cindy speaking . -- Hi , Cindy . It ’ s Michael Kurt . Is Mr . Johnson in ? -- No , I ’ m sorry , Mr . Kurt . He ’ s stepped out for a bit . Would you like me to have him call you ? -- Yeah , that ’ ll be great . I ’ m on extension 4283 . --"
12273,"Jason Emory speaking . -- Hi , Jason . It ’ s Elizabeth Montgomery . Have you got those plans drawn up yet ? -- Yeah . They were just sent over to your office . You should have them in about half an hour . -- Thanks a lot . Sorry to trouble you . --"
12274,"Hello . Mr . Rodriguez ? -- Yes . Is this Paula ? -- Yes , sir . I ’ Ve just dropped those slides off at the Winthrop office . Do you need anything else while I ’ m out ? -- No , that ’ s all right . Paula . Why don ’ t you get something to eat , and I ’ ll see you this afternoon . --"
12275,"Excuse me , Mr . Graham ? I have something I need to discuss with you . -- I ’ m in a bit of a hurry , Louise . Can it wait ? -- I would really appreciate it if we could talk for a few minutes now . It ’ s about the overtime you ’ Ve asked me to put in . -- All right . Why don ’ t you have a seat ? What ’ s the problem ? --"
12276,"Hi , is this Rich ? -- Yeah , who ’ s calling ? -- It ’ s Alex ... Have I got some great news ! We got the Baker account . It ’ s all ours ! -- Fantastic ! I can ’ t believe it ! That ’ s the biggest account we ’ Ve gotten so far ! --"
12277,"Greg . I want to speak to you for a minute . -- Yes . Ms . Gray . Is there something wrong ? -- I ’ m afraid there is , Greg . I don ’ t mind you taking a break . But you ’ Ve been away from your desk for twenty-five minutes already . -- I ’ m sorry , Ms . Gray . I must have lost track of the time . I ’ ll get back to work , now . --"
12278,"Farmington ? Would you take a look at these catalogue ads that Roger did ? I don ’ t think we can use them . -- Hmm . I see what you mean . Have you spoken with Roger ? He usually does better work than this . -- I know , Mr . Farmington . But , I ’ m not sure that I should bring this up with him . I think it would be better if you spoke to him . -- All right . Leave these ads with me . I ’ ll speak to him this morning . --"
12279,"Mr . Crandall , I ’ m sorry , but I really don ’ t see the value in doing this entire project over from scratch . It would take a lot of work . -- That ’ s certainly true . But , that ’ s what this job is all about , Maria . There's no doubt that this project is unacceptable . -- I agree . But I think that we can handle the problem by making a few major changes . I ’ d appreciate it if you would give me a chance . -- All right , Maria . I ’ ll give you until tomorrow at 4:00 to produce a satisfactory piece of work , but otherwise , you ’ ll have to re-do it . --"
12280,"Ms . Montgomery ? This is Richard Thomas . I ’ m sorry to bother you at home , but I ’ Ve got a bit of a problem . -- Oh ? What ’ s wrong ? -- My daughter ’ s just banged up her knee pretty badly and I ’ m going to have to take her to the hospital . I ’ ll be about two hours late . --"
12281,"I ’ d like to talk to you for a second , please . -- Okay , Mark , What ’ s up ? -- I ’ d like to know why you ’ re always taking credit for work we ’ Ve done together like that line in the new Ice Cream ad ? -- That was my line , Mark . I know we worked on the ad together , but that was definitely my line . --"
12282,"Mrs . Reynolds ? This is Martin Gross calling . -- Hi , Martin . What can I do for you ? -- Well , I ’ Ve got the spread sheets you asked for , but I ’ m still waiting on some data from accounting . -- That ’ s all right . Bring me over what you ’ Ve got . --"
12283,"I have to talk to you ! -- What , Hilary ? I ’ m really in a hurry ! -- I know , Blake . But you ’ Ve been avoiding me all morning , and we have got to talk about this deal with the Mc Kinsey Food Company . -- I ’ Ve been busy , Hilary . We can set up a meeting to talk about the deal , but I still feel the same way . I don ’ t think it ’ s worth it . --"
12284,"Hi , United Airlines ? This is Elizabeth parks calling . I have a reservation on the 2:30 p . m . flight to Shanghai this afternoon . -- Yes , Miss Parks ? How may I help you ? -- Well , I ’ d like to reschedule my flight for the tomorrow morning one at 9:05 . Is that possible ? -- I ’ m very sorry , Miss Parks , but the 9:05 flight is completely booked . I can put you on a waiting list if you would like . --"
12285,"Susan ! Why didn ’ t you tell me that you were taking over the Silk Company account ? -- I thought you knew , Todd . It was decided last week . I guess you weren ’ t at the meeting . -- You know I wasn ’ t at the meeting . I was meeting with Mr . Wei about this account . I ’ Ve been on this for a month and a half . -- I ’ m sorry . Todd , but Mr . Emory felt that it was going too slowly , and that it needed a fresh start . He should have told you . --"
12286,"May I help you ? -- Hi , this is Sharon in Mr . Reynolds ’ s office . One of your delivery men picked up a package here about an hour ago . -- Yes , is there a problem ? Ma ’ am ? -- Well , it still hasn ’ t reached its destination . I wonder if you could track it down for us . Mr . Reynolds is a bit concerned . --"
12287,"Alpha Beta Courier Service ? This is Louise Walker calling from The Marketing Company . -- Good morning , Ms . Walker . What can I do for you ? -- We need to deliver some documents to our Monroe street branch . Can you come by and pick them up ? -- Of course , Ms . Walker . Could I have your account number , please ? And , when do these documents need to arrive ? --"
12288,"Good afternoon . Lotus Catering Company . Lilian speaking . May I help you ? -- Good afternoon . Lilian . This is Tom Baker over at Beck ’ s Trading company . We need to arrange a banquet for next Wednesday afternoon . -- I see , Mr . Baker . How many people are you planning to invite and how much would you like to spend per person ? -- Well . We ’ re expecting about twenty-five people and we ’ d like to spend no more than $ 20 a head . --"
12289,"morning . Rent-A-Car Agency . May I help you ? -- Good morning . This is Paul Alexander calling from the Isis Advertising Firm . We need a car to the airport for Mr . Phillips . -- Certainly , Mr . Alexander . When would Mr . Phillips like to leave ? -- Let me check ... His flight ’ s at 2:30 p . m . , so he should leave no later than 12 noon . --"
12290,"Good afternoon . Is this the Roley Hotel ? -- Yes , madam . May I help you ? -- Yes . I ’ m calling from Westwood and Westwood Attorneys . I need to make a reservation for Mr . Alex Brent . -- Fine , madam . When will Mr . Brent be arriving , and how many nights will he be staying ? --"
12291,"morning , Mary ? It ’ s John Kramer calling . You remember you handled my tax forms for me ? -- Of course , Mr . Kramer . How are things going these days ? -- Better than ever ! You won ’ t have to worry about “ finding ” extra money for me anymore ! We made nearly a quarter of million in profit last year ! -- Congratulations ! I ’ m really glad to hear it ! That should make balancing the books a lot easier ! --"
12292,Good morning . Sales Division . Alex speaking . -- Alex . It ’ s Nancy over in Marketing . I ’ Ve got some good news for you . -- Oh yeah ? I could use some . What ’ s up ? -- Mr . Morris was so pleased with your sales work on his account that he went straight to the top with it . He wrote a letter about it to Mr . Macmillan ! --
12293,"Office Supplies , Inc . Robert speaking , may I help you ? -- Hi , Robert . This is Janet Reese calling from American Advertising . We placed an order with you about a week ago . -- Yes , Ms . Reese . I remember , you spoke with me . Is there a problem ? -- Well , it still hasn ’ t gotten here , and my boss is pretty angry about it . --"
12294,"Good morning . Could I speak with Mr . Willard please ? -- This is he . Who ’ s calling , please ? -- This is Chris Emerson speaking . -- Hello , Chris . How can I help you ? --"
12295,"the James ’ s file , Christine ? -- I had it right here a minute ago , Mr . Emory . Umm . Just a minute ... -- Christine , I know you ’ re new here and there ’ s a lot to learn , but you are going to have to learn to keep your work in better order . We can ’ t afford to lose an important document . -- Yes , sir . I apologize for that . Here ’ s the file you were looking for , Mr . Emory . --"
12296,"Mail room . Karen speaking . -- Hi , Karen . This is John Williams in the purchasing department . Can you check to see if there ’ s a package down there for me ? -- Certainly , Mr . Williams . Just one moment , please . -- Thanks , Karen . --"
12297,"Rachel ? This is John Emory speaking . -- Yes , Mr . Emory ? -- I ’ Ve got some bad news . All the plans sent over to the McGrath Corporation have been rejected . We ’ re going to have to start from scratch . -- I thought they had already agreed to everything . That ’ s going to take weeks to rework . --"
12298,"John ? It ’ s Susan Miller . -- Hi , Susan . What ’ s up ? -- Do you know where that memo about office procedures is ? I want to give my secretary a copy . -- I ’ m sorry . I have no idea . I haven ’ t seen that for ages . --"
12299,"Finance , Angie speaking . -- Hi Angie , it ’ s Tom Reynolds here . Can you tell me if my tuition fees for this semester have been approved ? -- Yes , Mr . Reynolds . They were approved yesterday . You can pick up the check today . -- Oh wow ! Thanks a million , Angie ! --"
12300,"Kevin ? Hi , it ’ s Elizabeth . I have a big favor to ask you . -- How big , Elizabeth ? Last time you said that , I ended up working overtime 3 nights in a row ! -- Well , I ’ Ve got a huge load of typing and Mr . Blake has insisted I get it done by tomorrow afternoon . -- All right , Elizabeth . But this is the last time . --"
12301,"Hi , is this Steven ? -- No , ma ’ am . This is Sean . Steven ’ s out sick . -- Oh , sorry to hear that . Listen , I ’ Ve got a rush order . Can you help me out ? --"
12302,"The new computer software is driving me crazy ! I really need a break ! -- I know what you mean , Carol . I ’ Ve had nothing but trouble with it . They say it ’ s supposed to be easy ! -- That ’ s what I ’ Ve heard . But as far as I ’ m concerned , it takes a genius to figure it out . Can you pass the sugar , please ? -- Sure . Why don ’ t you sit down for a minute ? You haven ’ t taken a rest all morning . --"
12303,"Hey , Doug ! How ’ d it go at that meeting yesterday ? I know you were pretty anxious about it . -- Fantastic ! I got the promotion ! -- Great ! When do you take over ? -- After the new year . --"
12304,"Hello . I need to speak with Allan Cartwright . -- This is he . May I help you ? -- I certainly hope so , I am about to stop doing business with your office . -- I ’ m very sorry , Madam . Can you tell me what the problem is over the phone or would you like me to go to your office ? --"
12305,"Excuse me , I ’ m sorry to trouble you . My name is Susan Ransom , and I have placed several orders with you company . -- Yes , Mr . Ransom ? This is Karl Miller . How may I help you ? -- Well , I wonder if you could track an order I placed with you last month . It hasn ’ t arrived yet . -- Certainly , Ms . Ransom . Do you have an order number ? --"
12306,"Print shop . Seam speaking . -- Hi , Sean . It ’ s Mary in Mr . Emory ’ s office . I placed an order for 1,000 bound copies of a staff manual last week . -- It usually takes 2 to 3 weeks to complete a job like that . -- Well , I was hoping you would do me a big favor . That was supposed to be a rush order , I forgot to tell you . I ’ m getting a lot of flak from my boss . --"
12307,"I ’ m interested in teaching at your school . -- Great . Are you a qualified teacher ? -- Yes . -- What kind of teaching certificate do you have ? -- I have a TEFL certificate . -- How many years of experience do you have ? -- I have three years of teaching ESL and four years of teaching per-school children . -- When did you get your TEFL certificate ? -- I got my TEFL certificate three years ago . -- Why do you want to teach at our school ? -- Well , I ’ Ve heard many good things about it . I also like teaching young children . -- That ’ s great . Can you speak Chinese ? -- Yes , just a little . -- Can you come in for an interview tomorrow at 10:00 ? -- I sure can . -- Great . See you then . --"
12308,"Good morning , Wilson Association . -- This is Brown speaking . I'd like to speak to Mr.Tomas . -- I'm sorry , but Mr.Tomas left here just a few minutes ago . -- I've been trying to call him for the last ten minutes , but your line was busy . Will he be back soon ? -- I'm afraid not . He is away for the rest of the day . -- Is there any other way I can reach him ? -- I'm afraid not , he has gone out of this town on business . May I take a message ? -- I have a business appointment with him at ten o'clock tomorrow morning , but I'm afraid I can't make it . -- Would you like to make another appointment ? -- Unfortunately , I'm leaving here unexpectedly , and I may be away for several days . -- I see . I'll tell Mr.Tomas you've called . -- Thank you . --"
12309,"Hello ! -- Is Petti there ? -- I'm sorry , I'm afraid you've dialed the wrong number . There is no Petti here . -- Wrong number ? Are you sure ? I called yesterday and she was there . -- I'm sure you have the wrong number . This one has been my number for more than 20 years . -- That's impossible . I remember the number clearly . Isn't this 763-4565 ? -- No , It isn't . It's 736-4565 . It seems you've misdialed . -- Really ? I ' m so sorry I bothered you . I ' ll try again . -- That's all right . This sort of thing happens all the time to everyone . -- Yeah . I guess it does . Sorry again for bothering you . -- No worries . --"
12310,"This is frank speaking , may i ask who is calling ? -- This is Jane , I'd like to speak to Mr.Wang , please . -- I'm sorry , he is not here at the moment . He has gone to the International Business Center . -- When do you expect him back ? -- I'm not sure , he didn't say when he wound return . If you'd like.you can leave him a message until he is back to you until the moment it's free . -- Yes , thank you . When he gets back , please just let him know that jane called . And i need him to call me back . -- Does he have your number ? -- Yes , he does . But i give it to you again . 5264453 6 -- That was 5264453 6 , right ? -- Yes , thank you very much . -- You are welcome . --"
12311,"I would like to take my vacation next month . -- How long did you have in mind ? -- I would like to take my two weeks vacation time . -- Seeing as next month is our slow season , that should not be a problem . -- Great . I will make my reservations as necessary . -- Just make sure to turn in all the necessary paperwork to ensure there are no problems with the days you want to take off . --"
12312,"I've read your report , and I'm not sure I agree with you.You think you can get attendance improved by requiring salaried employees to take their all of their sick days ? -- That's right . I know it must sound crazy to you , but we believe there will be fewer absences this way . -- We give them 10 or 15 sick days per year . Surely requiring people to take them couldn't possibly help . It sounds like a counter - productive policy change to me . -- Right now , we have incentives encouraging employees to come to work as often as possible.But employees with colds and the flu are coming to work and infecting their colleagues . -- I see . So our current policies are encouraging sick people to come to work , resulting in more sick employees . -- That's right . If sick days were mandatory , sick people would stay home . We wouldn't have these company-wide epidemics . -- Let's give it a shot ! --"
12313,"Would you consider an offer of $ 56,000 per year ? -- What kind of benefits are we talking about ? -- Our standard package includes health insurance , two weeks vacation and a company car . -- Are these things negotiable ? -- Uh ... not normally . What do you have in mind ? -- Vacation time is important to me . I would be willing to give up these other items in order to receive more vacation days . -- What an interesting idea , Ms . Wilson . Would you also be willing to accept a cut in initial salary ? -- Possibly . What do you have in mind ? --"
12314,"I ’ m so sorry to call you on such short notice , but something ’ s come up . -- You mean for this afternoon ’ s meeting ? -- That ’ s right I ’ m afraid I have to postpone it . Mr . Scott got sick and I have to attend the Speechmaker ’ s Symposium in his place . I ’ m leaving today , and I won ’ t be back until a week from Friday . -- That ’ s quite a while . Let ’ s make it the week after you get back , then . -- That will be great . So it ’ s two weeks from tomorrow , same time and place . I ’ m really sorry to do this to you . -- No problem at all . To tell you the truth , I could use the extra time in my schedule to catch up on some paperwork . --"
12315,"From reviewing your resume I can see that you have ample experience for this position.What I want to know is why you think you ’ re right for the job . -- Well I ’ m impressed with what the company has done in the past and I think by hiring me the company ’ s future can only be brighter . I find that my personal goals and ideas about business operation -- So you ’ Ve acquainted yourself with the company . It ’ s refreshing to interview someone who ’ s sure of what they want . -- Yes , I believe that it ’ s crucial for me to know if a company is right for me , not just if I ’ m right for the company . I ’ Ve only been impressed by what I ’ Ve read and heard and I see myself having -- Commitment to the company and the team is very important to us here . -- Well I ’ m definitely a team player as well as being highly self-motivated . I believe this company can fulfill my long-term goals and offer me great upward mobility . Therefore you will find in me --"
12316,"I really think if I can get my foot in the door at this company it will do wonders for my career . Do you think you can help me polish my interview style ? -- Sure . Doing your homework and preparing for an interview really pays off . -- I ’ Ve researched the company and think I ’ m perfect for the job but I ’ m not sure how to get it across to them . -- Well first you have to have more confidence.Employers look for people who are interested , enthusiastic and sure of themselves . -- I know I have what it takes but Im worried that my work experience won ’ t sufficient . Should I inflate my experience ? -- No , you should always be upfront and honest about your weaknesses . However by focusing on your strong points and maintaining a positive attitude about your abilities , you can take the attention --"
12317,"I ’ Ve just looked over your resume and I must admit I am quite impressed . -- Thank you . I ’ Ve worked pretty hard to be able to list those accomplishments . -- You ’ Ve got plenty of training and experience . I wonder if you could tell me something about your goals . Where do you see yourself ten years from now ? -- To be honest , I don ’ t plan in that much detail . My goals tend to be general ; I define success according to the job at hand . I see myself advancing as I succeed , but I don ’ t necessarily dwell on -- interesting ! And how do you feel about decision-making ? Are you an independent thinker , or do you depend more on your superior for direction ? -- That depends a bit on the problem at hand . There are certain situations in which a manager can give a general directive , and expect his employees to know how to take the initiative on the detail -- Sounds good . Everyone is taking about teams these days . Can you describe your role as a member of a sales team ? -- I see myself as an encourager . Of course , sales can be quite competitive and sometimes people in this field have a secret desire for others to fail . In my last job , each representative handled -- So , your experience is as impressive in practice as it is on paper . --"
